grid_id,species,province,year,date_source,disc_year,pub_year,lag,longitude,latitude,in_pa,in_pa_national,nearest_pa_name,nearest_pa_level,nearest_pa_type,nearest_pa_year,dist_to_pa_km,ax,ay,prov_geo,grid_id2,in_pa_b0,in_pa_b1_1,in_pa_b3,in_pa_b5,method,cause,method_grp,bio1,bio12,elev,warming_rate,climate_velocity,climate_exposure,unit_county,provgeo_county,unit_prefecture,provgeo_prefecture,valid_county,valid_prefecture
1206,Lophura nycthemera,Jiangsu,2016,discovery_date,2016,2017,1,119.58,31.23,FALSE,FALSE,盘台,local,森林生态,2006,9.79033267511222,1364748.16940768,3410189.53939896,Jiangsu,1206,FALSE,FALSE,FALSE,FALSE,"","",unknown,1.58118333816528,1130,12,0.108386098725391,0.0217271318036011,0.0534683116468678,320282,Jiangsu,320200,Jiangsu,TRUE,TRUE
1206,Turdus ruficollis,Jiangsu,2013,discovery_date,2013,2021,8,119.49,31.55,FALSE,FALSE,盘台,local,森林生态,2006,32.2008441481925,1351149.43152065,3444565.90379279,Jiangsu,1206,FALSE,FALSE,FALSE,FALSE,"","",unknown,1.58118333816528,1130,12,0.108386098725391,0.0217271318036011,0.0534683116468678,320481,Jiangsu,320400,Jiangsu,TRUE,TRUE
1207,Cyornis glaucicomans,Jiangsu,2023,discovery_date,2023,2024,1,120.24,31.51,FALSE,FALSE,江苏吴县光福,provincial,森林生态,1981,34.2649566447549,1421236.28096879,3450587.9613126,Jiangsu,1207,FALSE,FALSE,FALSE,FALSE,"","",unknown,1.56893329620361,1047,0,0.108386098725391,0.0217271318036011,0.0534683116468678,320211,Jiangsu,320200,Jiangsu,TRUE,TRUE
1207,Fringilla coelebs,Jiangsu,2023,discovery_date,2023,2024,1,120.24,31.51,FALSE,FALSE,江苏吴县光福,provincial,森林生态,1981,34.2649566447549,1421236.28096879,3450587.9613126,Jiangsu,1207,FALSE,FALSE,FALSE,FALSE,"","",unknown,1.56893329620361,1047,0,0.108386098725391,0.0217271318036011,0.0534683116468678,320211,Jiangsu,320200,Jiangsu,TRUE,TRUE
1208,Ptyonoprogne rupestris,Jiangsu,2021,discovery_date,2021,2024,3,120.48,31.3,FALSE,FALSE,江苏吴县光福,provincial,森林生态,1981,7.44253732505062,1447105.76450933,3430716.40969476,Jiangsu,1208,FALSE,FALSE,FALSE,FALSE,"","",unknown,1.62291660308838,953,8,0.108386098725391,0.0217271318036011,0.0534683116468678,320505,Jiangsu,320500,Jiangsu,TRUE,TRUE
1209,Ardenna pacifica,Shanghai,2012,discovery_date,2012,2013,1,121.32,31.35,FALSE,FALSE,上海九段沙湿地国家级自然保护区,national,湿地生态,2000,42.9043160474186,1524020.56842465,3448836.93272526,Shanghai,1209,FALSE,FALSE,FALSE,FALSE,救助,分布变化,professional_survey,1.58934993743896,1014,5,0.108386098725391,0.0217271318036011,0.0534683116468678,310114,Shanghai,310000,Shanghai,TRUE,TRUE
1209,Halcyon smyrnensis,Shanghai,2009,discovery_date,2009,2009,0,121,31.07,FALSE,FALSE,江苏吴县光福,provincial,森林生态,1981,45.1291971871164,1499451.58441046,3412896.50336845,Shanghai,1209,FALSE,FALSE,FALSE,FALSE,观察,分布变化,birdwatching,1.58934993743896,1014,5,0.108386098725391,0.0217271318036011,0.0534683116468678,310118,Shanghai,310000,Shanghai,TRUE,TRUE
1209,Phylloscopus castaniceps,Shanghai,2011,discovery_date,2011,2013,2,121.15,31.08,FALSE,FALSE,上海金山三岛,provincial,海洋海岸,1991,47.7422474192956,1513203.25122414,3416281.83069679,Shanghai,1209,FALSE,FALSE,FALSE,FALSE,观察拍摄,分布变化,birdwatching,1.58934993743896,1014,5,0.108386098725391,0.0217271318036011,0.0534683116468678,310117,Shanghai,310000,Shanghai,TRUE,TRUE
1240,Anastomus oscitans,Qinghai,2023,discovery_date,2023,2024,1,96.57,32.58,FALSE,FALSE,青海玉树隆宝,national,湿地生态,1986,61.0782018318921,-778087.152724033,3494815.59460106,Qinghai,1240,FALSE,FALSE,FALSE,FALSE,"","",unknown,0.209300017356873,533,4028,0.025943770905657,0.0199916177277117,0.019640334825541,632701,Qinghai,632700,Qinghai,TRUE,TRUE
1249,Amaurornis phoenicurus,Qinghai,2013,discovery_date,2013,2015,2,101.07,32.68,FALSE,FALSE,四川严波也则山,local,野生动物,2001,5.20144373140344,-362633.608274428,3480208.43817795,Qinghai,1249,FALSE,FALSE,FALSE,FALSE,观察拍摄,分布变化,birdwatching,-0.19174998998642,747,4329,0.025943770905657,0.0199916177277117,0.019640334825541,513230,Sichuan,513200,Sichuan,FALSE,FALSE
1249,Certhia himalayana,Qinghai,2013,discovery_date,2013,2014,1,101.05,32.7,FALSE,FALSE,四川严波也则山,local,野生动物,2001,7.99554559502543,-364388.451910024,3482533.74733384,Qinghai,1249,FALSE,FALSE,FALSE,FALSE,观察拍摄,分布变化或缺乏调查,birdwatching,-0.19174998998642,747,4329,0.025943770905657,0.0199916177277117,0.019640334825541,632622,Qinghai,632600,Qinghai,TRUE,TRUE
1249,Dendrocopos hyperythrus,Qinghai,2013,discovery_date,2013,2015,2,101.03,32.68,FALSE,FALSE,四川严波也则山,local,野生动物,2001,8.50940965479549,-366322.5780167,3480355.28570706,Qinghai,1249,FALSE,FALSE,FALSE,FALSE,"","",unknown,-0.19174998998642,747,4329,0.025943770905657,0.0199916177277117,0.019640334825541,632622,Qinghai,632600,Qinghai,TRUE,TRUE
1255,Lonchura striata,Gansu,2009,discovery_date,2009,2011,2,104.69,32.95,FALSE,FALSE,甘肃白水江,national,野生动物,1963,8.89849206611875,-28517.0895068378,3503506.58955014,Gansu,1255,FALSE,FALSE,FALSE,FALSE,"","",unknown,0.210350012779236,810,3346,0.170586572735392,0.0823993028940886,0.0604800763272079,621222,Gansu,621200,Gansu,TRUE,TRUE
1255,Nisaetus nipalensis,Gansu,2006,discovery_date,2006,2007,1,104.71,32.93,FALSE,FALSE,甘肃白水江,national,野生动物,1963,6.98027820542264,-26683.8683256321,3501246.46383269,Gansu,1255,FALSE,FALSE,FALSE,FALSE,"","",unknown,0.210350012779236,810,3346,0.170586572735392,0.0823993028940886,0.0604800763272079,621222,Gansu,621200,Gansu,TRUE,TRUE
1256,Monticola gularis,Sichuan,2011,discovery_date,2011,2013,2,104.76,32.58,TRUE,TRUE,四川唐家河,national,野生动物,1986,0,-22178.5668779687,3461788.54942884,Sichuan,1256,TRUE,TRUE,TRUE,TRUE,"","",unknown,1.11561670303345,723,1575,0.170586572735392,0.0823993028940886,0.0604800763272079,510822,Sichuan,510800,Sichuan,TRUE,TRUE
1256,Otus lettia,Gansu,2023,discovery_date,2023,2024,1,105.16,32.64,TRUE,TRUE,甘肃白水江,national,野生动物,1963,0,14774.8235247372,3468534.49668012,Sichuan,1256,TRUE,TRUE,TRUE,TRUE,"","",unknown,1.11561670303345,723,1575,0.170586572735392,0.0823993028940886,0.0604800763272079,621222,Gansu,621200,Gansu,TRUE,TRUE
1257,Accipiter trivirgatus,Gansu,2020,discovery_date,2020,2022,2,105.32,32.85,TRUE,FALSE,裕河金丝猴,provincial,野生动物,2002,0,29473.3251705305,3492237.25305554,Gansu,1257,TRUE,TRUE,TRUE,TRUE,"","",unknown,1.33133335113525,779,1130,0.172594181637433,0.0614651285579834,0.0502349422385811,621202,Gansu,621200,Gansu,TRUE,TRUE
1257,Eumyias thalassinus,Gansu,2019,discovery_date,2019,2020,1,105.38,32.87,TRUE,FALSE,裕河金丝猴,provincial,野生动物,2002,0,34990.9202120126,3494511.06766298,Gansu,1257,TRUE,TRUE,TRUE,TRUE,观察拍摄,分布变化,birdwatching,1.33133335113525,779,1130,0.172594181637433,0.0614651285579834,0.0502349422385811,621202,Gansu,621200,Gansu,TRUE,TRUE
1257,Grus japonensis,Sichuan,2023,discovery_date,2023,2024,1,105.48,32.67,FALSE,FALSE,甘肃白水江,national,野生动物,1963,8.90833156316544,44307.9725686053,3472010.32737003,Sichuan,1257,FALSE,FALSE,FALSE,FALSE,"","",unknown,1.33133335113525,779,1130,0.172594181637433,0.0614651285579834,0.0502349422385811,510822,Sichuan,510800,Sichuan,TRUE,TRUE
1257,Ixos mcclellandii,Gansu,2016,discovery_date,2016,2016,0,105.57,32.94,TRUE,FALSE,裕河金丝猴,provincial,野生动物,2002,0,52440.9176901044,3502485.31266783,Shaanxi,1257,TRUE,TRUE,TRUE,TRUE,"","",unknown,1.33133335113525,779,1130,0.172594181637433,0.0614651285579834,0.0502349422385811,621202,Gansu,621200,Gansu,TRUE,TRUE
1257,Psilopogon virens,Gansu,2016,discovery_date,2016,2017,1,105.51,32.97,TRUE,FALSE,裕河金丝猴,provincial,野生动物,2002,0,46903.4997870676,3505837.1705424,Shaanxi,1257,TRUE,TRUE,TRUE,TRUE,"","",unknown,1.33133335113525,779,1130,0.172594181637433,0.0614651285579834,0.0502349422385811,621202,Gansu,621200,Gansu,TRUE,TRUE
1257,Staphida torqueola,Gansu,2021,discovery_date,2021,2022,1,105.47,32.88,FALSE,FALSE,陕西青木川,national,野生动物,2003,1.61652383767108,43272.851252844,3495673.72728596,Sichuan,1257,FALSE,FALSE,TRUE,TRUE,"","",unknown,1.33133335113525,779,1130,0.172594181637433,0.0614651285579834,0.0502349422385811,510822,Sichuan,510800,Sichuan,FALSE,FALSE
1257,Yuhina nigrimenta,Gansu,2016,discovery_date,2016,2017,1,105.38,32.88,FALSE,FALSE,裕河金丝猴,provincial,野生动物,2002,0.0211095522388142,34986.6058440844,3495638.25537463,Gansu,1257,FALSE,TRUE,TRUE,TRUE,"","",unknown,1.33133335113525,779,1130,0.172594181637433,0.0614651285579834,0.0502349422385811,621202,Gansu,621200,Gansu,TRUE,TRUE
1260,Podiceps nigricollis,Shaanxi,2002,discovery_date,2002,2007,5,106.9,32.95,FALSE,FALSE,四川大小兰沟,provincial,野生植物,1991,25.357549575751,174771.776691382,3505134.48017087,Shaanxi,1260,FALSE,FALSE,FALSE,FALSE,观察,分布变化,birdwatching,1,941,1593,0.192968737556714,0.0548750555002221,0.0571667460837103,610703,Shaanxi,610700,Shaanxi,TRUE,TRUE
1260,Yuhina nigrimenta,Shaanxi,2006,discovery_date,2006,2007,1,107.25,32.55,FALSE,FALSE,陕西龙池,provincial,森林生态,2002,9.19661878903636,207983.068150756,3460738.38422765,Shaanxi,1260,FALSE,FALSE,FALSE,FALSE,观察,分布变化,birdwatching,1,941,1593,0.192968737556714,0.0548750555002221,0.0571667460837103,610703,Shaanxi,610700,Shaanxi,TRUE,TRUE
1263,Garrulax monileger,Shaanxi,2020,discovery_date,2020,2020,0,108.71,32.67,FALSE,FALSE,重庆大巴山,national,野生植物,1979,55.9513120804461,342385.339825206,3478301.22637873,Shaanxi,1263,FALSE,FALSE,FALSE,FALSE,观察拍摄,分布变化,birdwatching,1.35325002670288,949,782,0.192968737556714,0.0548750555002221,0.0571667460837103,610902,Shaanxi,610900,Shaanxi,TRUE,TRUE
1263,Melanitta stejnegeri,Shaanxi,2016,discovery_date,2016,2017,1,109.04,32.71,FALSE,FALSE,陕西化龙山,national,森林生态,2001,70.0596175692664,372640.595504411,3483993.85080375,Shaanxi,1263,FALSE,FALSE,FALSE,FALSE,"","",unknown,1.35325002670288,949,782,0.192968737556714,0.0548750555002221,0.0571667460837103,610902,Shaanxi,610900,Shaanxi,TRUE,TRUE
1263,Podiceps auritus,Shaanxi,2016,discovery_date,2016,2017,1,109.03,32.71,FALSE,FALSE,陕西化龙山,national,森林生态,2001,70.4130013839721,371718.725080881,3483956.36318526,Shaanxi,1263,FALSE,FALSE,FALSE,FALSE,"","",unknown,1.35325002670288,949,782,0.192968737556714,0.0548750555002221,0.0571667460837103,610902,Shaanxi,610900,Shaanxi,TRUE,TRUE
1263,Prinia inornata,Shaanxi,2023,discovery_date,2023,2023,0,108.7,32.75,FALSE,FALSE,重庆大巴山,national,野生植物,1979,64.6505928326795,341126.977860297,3487276.1807285,Shaanxi,1263,FALSE,FALSE,FALSE,FALSE,"","",unknown,1.35325002670288,949,782,0.192968737556714,0.0548750555002221,0.0571667460837103,610902,Shaanxi,610900,Shaanxi,TRUE,TRUE
1265,Aquila fasciata,Shaanxi,2020,discovery_date,2020,2020,0,110.01,32.85,FALSE,FALSE,湖北赛武当,national,森林生态,1987,65.8066227673699,461246.726216111,3503830.16779491,Hubei,1265,FALSE,FALSE,FALSE,FALSE,救助,分布变化,professional_survey,1.38826665878296,951,761,0.192968737556714,0.0548750555002221,0.0571667460837103,610929,Shaanxi,610900,Shaanxi,TRUE,TRUE
1279,Emberiza yessoensis,Anhui,2016,discovery_date,2016,2017,1,117.44,32.29,FALSE,FALSE,铁山寺,local,森林生态,1990,111.538754550242,1150667.20341457,3501276.60388799,Anhui,1279,FALSE,FALSE,FALSE,FALSE,"","",unknown,1.54674997329712,1018,66,0.22778909196967,0.0441725398814915,0.0682618595424368,341125,Anhui,341100,Anhui,TRUE,TRUE
1281,Abroscopus albogularis,Jiangsu,2017,discovery_date,2017,2019,2,118.55,32.06,FALSE,FALSE,雨花台,local,地质遗迹,1984,59.8272172190843,1256251.37576985,3489052.16137533,Jiangsu,1281,FALSE,FALSE,FALSE,FALSE,"","",unknown,1.55205001831055,1019,28,0.108386098725391,0.0217271318036011,0.0534683116468678,320111,Jiangsu,320100,Jiangsu,TRUE,TRUE
1281,Halcyon smyrnensis,Jiangsu,2006,discovery_date,2006,2010,4,118.62,32.12,FALSE,FALSE,雨花台,local,地质遗迹,1984,51.550641127562,1261776.65625512,3496632.63798062,Jiangsu,1281,FALSE,FALSE,FALSE,FALSE,"","",unknown,1.55205001831055,1019,28,0.108386098725391,0.0217271318036011,0.0534683116468678,320111,Jiangsu,320100,Jiangsu,TRUE,TRUE
1282,Garrulax monileger,Jiangsu,2007,discovery_date,2007,2009,2,118.84,32.07,FALSE,FALSE,雨花台,local,地质遗迹,1984,35.0947942954255,1282808.93831972,3493875.72866149,Jiangsu,1282,FALSE,FALSE,FALSE,FALSE,"","",unknown,1.54846668243408,1050,33,0.108386098725391,0.0217271318036011,0.0534683116468678,320102,Jiangsu,320100,Jiangsu,TRUE,TRUE
1282,Pterorhinus berthemyi,Jiangsu,2007,discovery_date,2007,2009,2,118.86,32.06,FALSE,FALSE,雨花台,local,地质遗迹,1984,34.2248280300766,1284807.33549438,3493019.3419292,Jiangsu,1282,FALSE,FALSE,FALSE,FALSE,"","",unknown,1.54846668243408,1050,33,0.108386098725391,0.0217271318036011,0.0534683116468678,320102,Jiangsu,320100,Jiangsu,TRUE,TRUE
1282,Pterorhinus pectoralis,Jiangsu,2007,discovery_date,2007,2009,2,118.85,32.07,FALSE,FALSE,雨花台,local,地质遗迹,1984,34.3240249581974,1283729.8049982,3494004.9853559,Jiangsu,1282,FALSE,FALSE,FALSE,FALSE,"","",unknown,1.54846668243408,1050,33,0.108386098725391,0.0217271318036011,0.0534683116468678,320102,Jiangsu,320100,Jiangsu,TRUE,TRUE
1285,Eumyias thalassinus,Jiangsu,2016,discovery_date,2016,2019,3,120.4,31.99,FALSE,FALSE,镇江长江豚类,provincial,野生动物,2002,45.2520529307699,1427692.43396743,3506261.35474511,"",1285,FALSE,FALSE,FALSE,FALSE,"","",unknown,1.55939998626709,980,6,0.108386098725391,0.0217271318036011,0.0534683116468678,320582,Jiangsu,320500,Jiangsu,TRUE,TRUE
1285,Macropygia unchall,Jiangsu,2021,discovery_date,2021,2024,3,120.73,31.65,FALSE,FALSE,江苏吴县光福,provincial,森林生态,1981,35.8165295035615,1464069.98028639,3473268.56715547,Jiangsu,1285,FALSE,FALSE,FALSE,FALSE,"","",unknown,1.55939998626709,980,6,0.108386098725391,0.0217271318036011,0.0534683116468678,320581,Jiangsu,320500,Jiangsu,TRUE,TRUE
1285,Oenanthe oenanthe,Jiangsu,2023,discovery_date,2023,2024,1,120.83,31.79,FALSE,FALSE,江苏吴县光福,provincial,森林生态,1981,54.058654697012,1470797.26687407,3490303.05703569,"",1285,FALSE,FALSE,FALSE,FALSE,"","",unknown,1.55939998626709,980,6,0.108386098725391,0.0217271318036011,0.0534683116468678,320581,Jiangsu,320500,Jiangsu,TRUE,TRUE
1285,Onychoprion anaethetus,Jiangsu,2021,discovery_date,2021,2025,4,120.82,31.87,FALSE,FALSE,江苏吴县光福,provincial,森林生态,1981,61.8891057588176,1468447.27429703,3499045.28007388,"",1285,FALSE,FALSE,FALSE,FALSE,"","",unknown,1.55939998626709,980,6,0.108386098725391,0.0217271318036011,0.0534683116468678,320582,Jiangsu,320500,Jiangsu,TRUE,TRUE
1285,Pericrocotus ethologus,Jiangsu,2022,discovery_date,2022,2024,2,120.82,31.85,FALSE,FALSE,江苏吴县光福,provincial,森林生态,1981,59.8081868842853,1468804.47871247,3496822.59754734,"",1285,FALSE,FALSE,FALSE,FALSE,"","",unknown,1.55939998626709,980,6,0.108386098725391,0.0217271318036011,0.0534683116468678,320582,Jiangsu,320500,Jiangsu,TRUE,TRUE
1287,Acrocephalus concinens,Shanghai,2005,discovery_date,2005,2006,1,121.4,31.62,FALSE,FALSE,上海崇明东滩鸟类,national,野生动物,1998,42.5382637324477,1526428.82482636,3480027.81397732,Shanghai,1287,FALSE,FALSE,FALSE,FALSE,网捕,分布变化或缺乏调查,professional_survey,1.55761671066284,1025,4,0.0536895101930057,0.0101659534813005,0.0342461633537944,310151,Shanghai,310000,Shanghai,TRUE,TRUE
1287,Ficedula elisae,Shanghai,2013,discovery_date,2013,2018,5,121.48,31.72,FALSE,FALSE,上海崇明东滩鸟类,national,野生动物,1998,40.452799228092,1531947.15773724,3492358.80487252,Jiangsu,1287,FALSE,FALSE,FALSE,FALSE,观察拍摄,分布变化,birdwatching,1.55761671066284,1025,4,0.0536895101930057,0.0101659534813005,0.0342461633537944,310151,Shanghai,310000,Shanghai,TRUE,TRUE
1287,Helopsaltes pryeri,Shanghai,2004,discovery_date,2004,2006,2,121.4,31.62,FALSE,FALSE,上海崇明东滩鸟类,national,野生动物,1998,42.5382637324477,1526428.82482636,3480027.81397732,Shanghai,1287,FALSE,FALSE,FALSE,FALSE,网捕,分布变化或缺乏调查,professional_survey,1.55761671066284,1025,4,0.0536895101930057,0.0101659534813005,0.0342461633537944,310151,Shanghai,310000,Shanghai,TRUE,TRUE
1287,Oenanthe deserti,Shanghai,2014,discovery_date,2014,2018,4,121.75,31.38,FALSE,FALSE,上海崇明东滩鸟类,national,野生动物,1998,7.13781525861777,1563232.19794786,3458850.09991799,"",1287,FALSE,FALSE,FALSE,FALSE,观察拍摄,分布变化,birdwatching,1.55761671066284,1025,4,0.0536895101930057,0.0101659534813005,0.0342461633537944,310151,Shanghai,310000,Shanghai,TRUE,TRUE
1287,Urile pelagicus,Jiangsu,2023,discovery_date,2023,2024,1,121.54,31.77,FALSE,FALSE,上海崇明东滩鸟类,national,野生动物,1998,37.7363984540172,1536539.9133138,3498835.40437121,Jiangsu,1287,FALSE,FALSE,FALSE,FALSE,"","",unknown,1.55761671066284,1025,4,0.0536895101930057,0.0101659534813005,0.0342461633537944,320681,Jiangsu,320600,Jiangsu,TRUE,TRUE
1334,Ciconia boyciana,Gansu,2023,discovery_date,2023,2024,1,105.02,33.35,FALSE,FALSE,裕河金丝猴,provincial,野生动物,2002,41.7105028338576,1830.72924954362,3548565.24073452,Gansu,1334,FALSE,FALSE,FALSE,FALSE,"","",unknown,1.04316663742065,653,1666,0.170586572735392,0.0823993028940886,0.0604800763272079,621202,Gansu,621200,Gansu,TRUE,TRUE
1335,Butastur indicus,Gansu,2022,discovery_date,2022,2024,2,105.5,32.98,TRUE,FALSE,裕河金丝猴,provincial,野生动物,2002,0,45978.1536739241,3506959.81520845,Gansu,1335,TRUE,TRUE,TRUE,TRUE,"","",unknown,1.00089998245239,720,1692,0.170586572735392,0.0823993028940886,0.0604800763272079,621202,Gansu,621200,Gansu,TRUE,TRUE
1335,Hypsipetes leucocephalus,Gansu,2020,discovery_date,2020,2021,1,105.75,32.99,FALSE,FALSE,龙神沟,local,野生动物,1986,1.17852198574772,68958.349772442,3508231.85631321,Gansu,1335,FALSE,FALSE,TRUE,TRUE,"","",unknown,1.00089998245239,720,1692,0.170586572735392,0.0823993028940886,0.0604800763272079,621224,Gansu,621200,Gansu,TRUE,TRUE
1335,Phylloscopus tephrocephalus,Gansu,2016,discovery_date,2016,2016,0,105.41,33.14,TRUE,FALSE,裕河金丝猴,provincial,野生动物,2002,0,37627.6415756631,3524960.99992378,Gansu,1335,TRUE,TRUE,TRUE,TRUE,"","",unknown,1.00089998245239,720,1692,0.170586572735392,0.0823993028940886,0.0604800763272079,621202,Gansu,621200,Gansu,TRUE,TRUE
1335,Spodiopsar sericeus,Gansu,2015,discovery_date,2015,2015,0,105.49,33,TRUE,FALSE,裕河金丝猴,provincial,野生动物,2002,0,45047.4700352751,3509209.918678,Gansu,1335,TRUE,TRUE,TRUE,TRUE,"","",unknown,1.00089998245239,720,1692,0.170586572735392,0.0823993028940886,0.0604800763272079,621202,Gansu,621200,Gansu,TRUE,TRUE
1339,Anastomus oscitans,Shaanxi,2020,discovery_date,2020,2021,1,107.53,33.23,FALSE,FALSE,陕西汉中朱鹮,national,野生动物,1983,0.803240054675869,231907.018859385,3537986.95369945,Shaanxi,1339,FALSE,TRUE,TRUE,TRUE,观察拍摄,分布变化,birdwatching,1.38514995574951,828,584,0.192968737556714,0.0548750555002221,0.0571667460837103,610723,Shaanxi,610700,Shaanxi,TRUE,TRUE
1345,Merops philippinus,Henan,2022,discovery_date,2022,2023,1,111.24,33.06,TRUE,FALSE,白龟山湿地,provincial,湿地生态,2007,0,572865.560797154,3533872.06313743,Henan,1345,TRUE,TRUE,TRUE,TRUE,"","",unknown,1.56680002212524,857,362,0.217144813451741,0.0431056373179286,0.0631284864935155,411326,Henan,411300,Henan,TRUE,TRUE
1346,Treron sieboldii,Henan,2022,discovery_date,2022,2024,2,111.3,33.04,TRUE,FALSE,白龟山湿地,provincial,湿地生态,2007,0,578509.514072159,3531969.59180248,Henan,1346,TRUE,TRUE,TRUE,TRUE,"","",unknown,1.57426662445068,898,269,0.213808908135841,0.0439882479651097,0.0594135815288783,411326,Henan,411300,Henan,TRUE,TRUE
1360,Aviceda leuphotes,Jiangsu,2006,discovery_date,2006,2010,4,119.07,32.25,FALSE,FALSE,雨花台,local,地质遗迹,1984,7.94189568560821,1301122.53521766,3516938.73526783,Jiangsu,1360,FALSE,FALSE,FALSE,FALSE,"","",unknown,1.52519998550415,980,42,0.108386098725391,0.0217271318036011,0.0534683116468678,320116,Jiangsu,320100,Jiangsu,TRUE,TRUE
1360,Circaetus gallicus,Jiangsu,2024,discovery_date,2024,2025,1,118.95,32.5,FALSE,FALSE,雨花台,local,地质遗迹,1984,34.6398738207726,1286155.04790005,3543256.36222063,Jiangsu,1360,FALSE,FALSE,FALSE,FALSE,"","",unknown,1.52519998550415,980,42,0.108386098725391,0.0217271318036011,0.0534683116468678,320116,Jiangsu,320100,Jiangsu,TRUE,TRUE
1414,Aviceda leuphotes,Gansu,2018,discovery_date,2018,2019,1,105.63,33.55,FALSE,FALSE,裕河金丝猴,provincial,野生动物,2002,47.8303357579656,57524.4322532264,3571306.89234799,Gansu,1414,FALSE,FALSE,FALSE,FALSE,"","",unknown,1.17453336715698,644,1343,0.170586572735392,0.0823993028940886,0.0604800763272079,621221,Gansu,621200,Gansu,TRUE,TRUE
1415,Accipiter soloensis,Gansu,2012,discovery_date,2012,2015,3,106.2,33.7,FALSE,FALSE,甘肃小陇山,national,野生动物,1982,3.55708853558078,109363.875618556,3588708.04130319,Gansu,1415,FALSE,FALSE,FALSE,TRUE,"","",unknown,1.19879999160767,711,1247,0.170586572735392,0.0823993028940886,0.0604800763272079,621227,Gansu,621200,Gansu,TRUE,TRUE
1418,Anthus godlewskii,Shaanxi,2005,discovery_date,2005,2007,2,107.98,33.53,FALSE,FALSE,陕西佛坪,national,野生动物,1978,5.14781778241233,272128.375276974,3572952.61717597,Shaanxi,1418,FALSE,FALSE,FALSE,FALSE,观察,分布变化,birdwatching,0.81676664352417,823,1736,0.192968737556714,0.0548750555002221,0.0571667460837103,610730,Shaanxi,610700,Shaanxi,TRUE,TRUE
1418,Cacomantis merulinus,Shaanxi,2015,discovery_date,2015,2016,1,107.5,33.65,TRUE,TRUE,陕西长青,national,野生动物,1994,0,227964.913832852,3585276.2483461,Shaanxi,1418,TRUE,TRUE,TRUE,TRUE,"","",unknown,0.81676664352417,823,1736,0.192968737556714,0.0548750555002221,0.0571667460837103,610723,Shaanxi,610700,Shaanxi,TRUE,TRUE
1418,Ficedula hyperythra,Shaanxi,2006,discovery_date,2006,2007,1,107.98,33.53,FALSE,FALSE,陕西佛坪,national,野生动物,1978,5.14781778241233,272128.375276974,3572952.61717597,Shaanxi,1418,FALSE,FALSE,FALSE,FALSE,观察,分布变化,birdwatching,0.81676664352417,823,1736,0.192968737556714,0.0548750555002221,0.0571667460837103,610730,Shaanxi,610700,Shaanxi,TRUE,TRUE
1418,Hierococcyx nisicolor,Shaanxi,2014,discovery_date,2014,2016,2,107.5,33.65,TRUE,TRUE,陕西长青,national,野生动物,1994,0,227964.913832852,3585276.2483461,Shaanxi,1418,TRUE,TRUE,TRUE,TRUE,"","",unknown,0.81676664352417,823,1736,0.192968737556714,0.0548750555002221,0.0571667460837103,610723,Shaanxi,610700,Shaanxi,TRUE,TRUE
1418,Monticola rufiventris,Shaanxi,2005,discovery_date,2005,2007,2,107.76,33.6,TRUE,TRUE,陕西佛坪,national,野生动物,1978,0,251824.2416198,3580265.56039335,Shaanxi,1418,TRUE,TRUE,TRUE,TRUE,观察,分布变化,birdwatching,0.81676664352417,823,1736,0.192968737556714,0.0548750555002221,0.0571667460837103,610730,Shaanxi,610700,Shaanxi,TRUE,TRUE
1418,Rallus aquaticus,Shaanxi,2018,discovery_date,2018,2025,7,107.53,33.61,FALSE,FALSE,陕西长青,national,野生动物,1994,2.42379487475124,230814.891461909,3580834.26163041,Shaanxi,1418,FALSE,FALSE,TRUE,TRUE,"","",unknown,0.81676664352417,823,1736,0.192968737556714,0.0548750555002221,0.0571667460837103,610723,Shaanxi,610700,Shaanxi,TRUE,TRUE
1418,Tarsiger indicus,Shaanxi,2015,discovery_date,2015,2018,3,107.83,33.67,TRUE,TRUE,陕西佛坪,national,野生动物,1978,0,257984.295868986,3588339.51171378,Shaanxi,1418,TRUE,TRUE,TRUE,TRUE,"","",unknown,0.81676664352417,823,1736,0.192968737556714,0.0548750555002221,0.0571667460837103,610730,Shaanxi,610700,Shaanxi,TRUE,TRUE
1418,Turdus boulboul,Shaanxi,2006,discovery_date,2006,2007,1,107.98,33.53,FALSE,FALSE,陕西佛坪,national,野生动物,1978,5.14781778241233,272128.375276974,3572952.61717597,Shaanxi,1418,FALSE,FALSE,FALSE,FALSE,观察,分布变化,birdwatching,0.81676664352417,823,1736,0.192968737556714,0.0548750555002221,0.0571667460837103,610730,Shaanxi,610700,Shaanxi,TRUE,TRUE
1421,Mergus serrator,Shaanxi,2016,discovery_date,2016,2017,1,109.17,33.42,FALSE,FALSE,东秦岭地质剖面,provincial,地质遗迹,1990,31.8961664665751,381263.310515338,3564468.35833587,Shaanxi,1421,FALSE,FALSE,FALSE,FALSE,观察拍摄,分布变化,birdwatching,1.19204998016357,760,938,0.192968737556714,0.0548750555002221,0.0571667460837103,611025,Shaanxi,611000,Shaanxi,TRUE,TRUE
